measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.334,0.0,8.619,0.103,8.364,8.873,false,2.285,0.265,5.221
"false","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",21.608,0.0,24.803,0.543,23.455,26.151,false,3.195,0.129,10.208
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",63.364,0.0,61.595,0.432,60.523,62.667,false,1.769,0.029,3.129
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",12.685,0.0,9.221,0.304,8.467,9.975,false,3.464,0.376,11.999
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.826,0.0,8.607,0.035,8.52,8.693,false,1.781,0.207,3.172
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",56.811,0.0,67.649,0.266,66.987,68.31,false,10.838,0.16,117.462
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",57.886,0.0,55.016,0.517,53.731,56.301,false,2.87,0.052,8.237
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.186,0.0,8.36,0.261,7.712,9.007,false,2.174,0.26,4.726
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",11.906,0.0,18.815,0.341,17.967,19.662,false,6.909,0.367,47.734
"false","[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",14.92,0.0,17.977,0.447,16.866,19.088,false,3.057,0.17,9.345
