measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.314,0.0,8.619,0.084,0.305,0.035,0.093
"true","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",24.786,0.0,24.803,0.443,0.017,0.001,0
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",61.119,0.0,61.595,0.352,0.476,0.008,0.227
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",9.71,0.0,9.221,0.248,0.489,0.053,0.239
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",69.828,0.0,67.649,0.217,2.179,0.032,4.748
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.314,0.0,8.607,0.028,0.293,0.034,0.086
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",55.595,0.0,55.016,0.422,0.579,0.011,0.335
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.314,0.0,8.36,0.213,0.046,0.006,0.002
"true","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.157,0.0,18.815,0.279,0.342,0.018,0.117
"true","[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",18.554,0.0,17.977,0.365,0.577,0.032,0.333
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",8.314,0.0,9.186,0.214,0.872,0.095,0.76
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.061,0.0,18.712,0.397,1.349,0.072,1.82
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER]",8.314,0.0,8.606,0.208,0.292,0.034,0.085
