measured,configuration,performance,std,minci,maxci
true,"[POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, VERBOSELOG, SCALEMODE, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",2.294,0.009,2.281,2.308
true,"[UPSCALINGALGORITHM, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",195.207,2.03,191.977,198.438
true,"[SCALEISHEIGHTDP, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, HALTONERROR, GUIADVANCEDOPTIONS]",3.061,0.013,3.04,3.082
true,"[SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY]",7.482,0.038,7.421,7.543
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",26.829,0.115,26.646,27.012
true,"[ROUNDINGHANDLER, CLEARDIRBEFORECONVERT]",57.111,0.476,56.353,57.869
true,"[INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG, CLEARDIRBEFORECONVERT]",61.608,0.722,60.458,62.757
true,"[UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",3.062,0.009,3.048,3.076
true,"[PLATFORM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, SCALE]",38.459,0.572,37.549,39.37
true,"[SCALEISHEIGHTDP, UPSCALINGALGORITHM]",46.951,0.087,46.813,47.09
true,"[INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",76.313,0.395,75.684,76.942
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, GUIADVANCEDOPTIONS, PLATFORM, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",26.834,0.149,26.597,27.07
true,"[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH]",56.121,0.484,55.351,56.892
true,"[PLATFORM, SCALEISHEIGHTDP, OUTPUTCOMPRESSIONGMODE, SCALEMODE, ROUNDINGHANDLER, SCALE, GUIADVANCEDOPTIONS]",13.211,0.129,13.006,13.416
true,"[UPSCALINGALGORITHM, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, HALTONERROR, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",46.483,0.189,46.182,46.784
true,"[CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, CLEARDIRBEFORECONVERT]",32.154,0.174,31.877,32.432
true,"[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, SCALEMODE, SCALE]",14.522,0.095,14.37,14.673
true,"[PLATFORM, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, HALTONERROR, CLEARDIRBEFORECONVERT]",392.612,0.994,391.031,394.194
true,"[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",8.391,0.072,8.276,8.506
true,"[OUTPUTCOMPRESSIONGMODE, VERBOSELOG]",182.349,0.996,180.764,183.934
true,"[POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, SCALE, HALTONERROR, IOSCREATEIMAGESETFOLDERS]",12.631,0.017,12.604,12.657
true,"[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",23.664,0.124,23.466,23.861
true,"[POSTCONVERTWEBP]",55.925,0.456,55.199,56.651
true,"[PLATFORM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE]",3.795,0.039,3.733,3.858
